,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,UNIQUE VALUES,,ASSEMBLER INST
OPP,OPP-0x8C,,,,x,,x,,,,,,,,,,,,,x,,,,40028,33,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c.*a
OPP,OPP-0x8D,,,,x,,,x,,,,,,,,,,,,x,,,,40048,35,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c.*b
OPP,OPP-0x8E,,,,x,,,,x,,,,,,,,,,,x,,,,40088,37,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c.*c
OPP,OPP-0x8F,,,,x,,,,,x,,,,,,,,,,x,,,,40108,39,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c.*d
OPP,OPP-0x90,,,,,x,x,,,,,,,,,,,,,,x,,,80030,45,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d.*a
OPP,OPP-0x91,,,,,x,,x,,,,,,,,,,,,,x,,,80050,47,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d.*b
OPP,OPP-0x92,,,,,x,,,x,,,,,,,,,,,,x,,,80090,49,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d.*c
OPP,OPP-0x93,,,,,x,,,,x,,,,,,,,,,,x,,,80110,4B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d.*d
OPP,OPP-0x94,,x,,,,,x,,,,,,,,,,x,,,,,,10042,A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a//b
OPP,OPP-0x95,,x,,,,,,x,,,,,,,,,x,,,,,,10082,C,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a//c
OPP,OPP-0x96,,x,,,,,,,x,,,,,,,,x,,,,,,10102,F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a//d
OPP,OPP-0x97,,,x,,,x,,,,,,,,,,,,x,,,,,20024,21,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b//a
OPP,OPP-0x98,,,x,,,,,x,,,,,,,,,,x,,,,,20084,25,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b//c
OPP,OPP-0x99,,,x,,,,,,x,,,,,,,,,x,,,,,20104,27,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b//d
OPP,OPP-0x9A,,,,x,,x,,,,,,,,,,,,,x,,,,40028,33,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c//a
OPP,OPP-0x9B,,,,x,,,x,,,,,,,,,,,,x,,,,40048,35,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c//b
OPP,OPP-0x9C,,,,x,,,,,x,,,,,,,,,,x,,,,40108,39,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c//d
OPP,OPP-0x9D,,,,,x,x,,,,,,,,,,,,,,x,,,80030,45,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d//a
OPP,OPP-0x9E,,,,,x,,x,,,,,,,,,,,,,x,,,80050,47,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d//b
